Percentage held for testing: ,12.5,,,,,,,,
Test Set starts at:,Kernel,deg,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer_1,linear,n/a,6,22,1,4,60,95.65217391,0.848484848
transfer_2,linear,n/a,8,21,1,3,72.72727273,95.45454545,0.878787879
transfer_3,linear,n/a,10,19,4,0,100,82.60869565,0.878787879
transfer_4,linear,n/a,8,20,2,3,72.72727273,90.90909091,0.848484848
transfer_5,linear,n/a,6,20,2,5,54.54545455,90.90909091,0.787878788
transfer_6,linear,n/a,7,20,1,5,58.33333333,95.23809524,0.818181818
transfer_7,linear,n/a,4,14,3,11,26.66666667,82.35294118,0.5625
transfer_8,linear,n/a,5,8,2,6,45.45454545,80,0.619047619
transfer_9,linear,n/a,1,2,1,6,14.28571429,66.66666667,0.3
transfer_10,linear,n/a,10,9,6,8,55.55555556,60,0.575757576
transfer_11,linear,n/a,8,13,1,11,42.10526316,92.85714286,0.636363636
transfer_12,linear,n/a,9,12,4,8,52.94117647,75,0.636363636
transfer_13,linear,n/a,5,13,6,9,35.71428571,68.42105263,0.545454545
transfer_14,linear,n/a,6,14,7,6,50,66.66666667,0.606060606
transfer_15,linear,n/a,4,8,13,8,33.33333333,38.0952381,0.363636364
transfer_16,linear,n/a,4,9,11,9,30.76923077,45,0.393939394
transfer_17,linear,n/a,10,5,13,5,66.66666667,27.77777778,0.454545455
transfer_18,linear,n/a,8,11,4,10,44.44444444,73.33333333,0.575757576
transfer_19,linear,n/a,6,14,5,8,42.85714286,73.68421053,0.606060606
transfer_20,linear,n/a,4,22,1,6,40,95.65217391,0.787878788
transfer_21,linear,n/a,2,14,16,1,66.66666667,46.66666667,0.484848485
transfer_22,linear,n/a,3,15,15,0,100,50,0.545454545
transfer_23,linear,n/a,2,11,9,0,100,55,0.590909091
transfer_24,linear,n/a,1,5,5,0,100,50,0.545454545
,,,,,,,,,
,,,,,Averages: ,,56.90808439,70.74773177,0.620443272
