Percentage held for testing: ,12.5,,,,,,,,
Test Set starts at:,Kernel,deg,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer_1,linear,n/a,24,70,22,16,60,76.08695652,0.712121212
transfer_2,linear,n/a,26,74,14,18,59.09090909,84.09090909,0.757575758
transfer_3,linear,n/a,28,72,20,12,70,78.26086957,0.757575758
transfer_4,linear,n/a,16,74,14,28,36.36363636,84.09090909,0.681818182
transfer_5,linear,n/a,24,68,20,20,54.54545455,77.27272727,0.696969697
transfer_6,linear,n/a,22,64,20,26,45.83333333,76.19047619,0.651515152
transfer_7,linear,n/a,34,54,14,29,53.96825397,79.41176471,0.671755725
transfer_8,linear,n/a,24,34,6,23,51.06382979,85,0.666666667
transfer_9,linear,n/a,10,10,2,21,32.25806452,83.33333333,0.465116279
transfer_10,linear,n/a,46,40,20,26,63.88888889,66.66666667,0.651515152
transfer_11,linear,n/a,38,42,14,38,50,75,0.606060606
transfer_12,linear,n/a,34,50,14,34,50,78.125,0.636363636
transfer_13,linear,n/a,28,50,26,28,50,65.78947368,0.590909091
transfer_14,linear,n/a,32,58,26,16,66.66666667,69.04761905,0.681818182
transfer_15,linear,n/a,28,50,34,20,58.33333333,59.52380952,0.590909091
transfer_16,linear,n/a,22,38,42,30,42.30769231,47.5,0.454545455
transfer_17,linear,n/a,34,34,38,26,56.66666667,47.22222222,0.515151515
transfer_18,linear,n/a,34,40,20,38,47.22222222,66.66666667,0.560606061
transfer_19,linear,n/a,28,60,16,28,50,78.94736842,0.666666667
transfer_20,linear,n/a,22,72,20,18,55,78.26086957,0.712121212
transfer_21,linear,n/a,12,66,54,0,100,55,0.590909091
transfer_22,linear,n/a,12,72,48,0,100,60,0.636363636
transfer_23,linear,n/a,8,52,28,0,100,65,0.681818182
transfer_24,linear,n/a,4,20,20,0,100,50,0.545454545
,,,,,,,,,
,,,,,,,60.55037299,70.2703184,0.63259694
