Percentage held for testing: ,4.166666667,,,,,,,,
Test Set starts at:,Kernel,deg,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer_1,linear,n/a,10,24,8,2,83.33333333,75,0.772727273
transfer_2,linear,n/a,8,24,4,8,50,85.71428571,0.727272727
transfer_3,linear,n/a,8,24,8,4,66.66666667,75,0.727272727
transfer_4,linear,n/a,12,18,10,4,75,64.28571429,0.681818182
transfer_5,linear,n/a,6,26,6,6,50,81.25,0.727272727
transfer_6,linear,n/a,6,26,2,10,37.5,92.85714286,0.727272727
transfer_7,linear,n/a,8,20,8,8,50,71.42857143,0.636363636
transfer_8,linear,n/a,14,22,6,2,87.5,78.57142857,0.818181818
transfer_9,linear,n/a,10,10,2,21,32.25806452,83.33333333,0.465116279
transfer_10,linear,n/a,8,16,12,8,50,57.14285714,0.545454545
transfer_11,linear,n/a,18,14,2,10,64.28571429,87.5,0.727272727
transfer_12,linear,n/a,18,10,6,10,64.28571429,62.5,0.636363636
transfer_13,linear,n/a,10,16,8,10,50,66.66666667,0.590909091
transfer_14,linear,n/a,14,20,4,6,70,83.33333333,0.772727273
transfer_15,linear,n/a,10,22,6,6,62.5,78.57142857,0.727272727
transfer_16,linear,n/a,6,24,8,6,50,75,0.681818182
transfer_17,linear,n/a,12,10,14,8,60,41.66666667,0.5
transfer_18,linear,n/a,8,12,12,12,40,50,0.454545455
transfer_19,linear,n/a,10,18,6,10,50,75,0.636363636
transfer_20,linear,n/a,8,10,2,24,25,83.33333333,0.409090909
transfer_21,linear,n/a,4,30,10,0,100,75,0.772727273
transfer_22,linear,n/a,4,30,10,0,100,75,0.772727273
transfer_23,linear,n/a,4,30,10,0,100,75,0.772727273
transfer_24,linear,n/a,4,20,20,0,100,50,0.545454545
,,,,,,,,,
,,,,,,,63.26372888,72.63144841,0.65953136
